Electoral district number,Electoral district name,Political affiliation (2015),% Votes obtained (2015),% Votes obtained (2011)
24047,Megantic--L'erable,Bloc Quebecois,12.3,16.6
24048,Mirabel,Conservative,10.1,9.2
24048,Mirabel,NDP-New Democratic Party,30.1,49.5
24048,Mirabel,Green Party,2.2,2.0
24048,Mirabel,Bloc Quebecois,31.5,31.0
24048,Mirabel,Liberal,26.1,7.8
24049,Montarville,Green Party,2.4,2.5
24049,Montarville,Conservative,10.9,9.6
24049,Montarville,Bloc Quebecois,28.4,29.1
24049,Montarville,Liberal,32.5,12.5
24049,Montarville,NDP-New Democratic Party,24.7,44.5
24049,Montarville,Other,1.1,1.8
24050,Montcalm,Green Party,1.8,3.8
24050,Montcalm,Conservative,9.6,7.9
24050,Montcalm,NDP-New Democratic Party,23.5,51.9
24050,Montcalm,Liberal,27.3,4.9
24050,Montcalm,Bloc Quebecois,36.6,31.4
24050,Montcalm,Other,1.2,0.0
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Green Party,1.7,1.5
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Bloc Quebecois,16.1,20.1
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Conservative,29,36.3
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,NDP-New Democratic Party,24.2,36.4
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Liberal,28.4,5.8
24051,Montmagny--L'Islet--Kamouraska--Riviere-du-Loup,Other,0.6,0.0
24052,Mount Royal,Bloc Quebecois,1.9,2.9
24052,Mount Royal,Liberal,50.3,41.4
24052,Mount Royal,Green Party,1.6,1.8
24052,Mount Royal,Conservative,37.9,35.6
24052,Mount Royal,NDP-New Democratic Party,8.1,17.9
24052,Mount Royal,Other,0.3,0.5
24053,Notre-Dame-de-Grace--Westmount,Liberal,57.7,38.2
24053,Notre-Dame-de-Grace--Westmount,NDP-New Democratic Party,21.8,35.1
24053,Notre-Dame-de-Grace--Westmount,Bloc Quebecois,2.5,4.1
24053,Notre-Dame-de-Grace--Westmount,Conservative,14.4,17.7
24053,Notre-Dame-de-Grace--Westmount,Green Party,3.1,4.4
24053,Notre-Dame-de-Grace--Westmount,Other,0.7,0.6
24054,Outremont,Liberal,33.5,21.6
24054,Outremont,Green Party,3.6,2.2
24054,Outremont,Bloc Quebecois,8.4,11.6
24054,Outremont,Conservative,9.5,8
24054,Outremont,NDP-New Democratic Party,44.1,55.7
24054,Outremont,Other,0.9,0.9
24055,Papineau,Bloc Quebecois,12.2,24.9
24055,Papineau,NDP-New Democratic Party,25.9,29.5
24055,Papineau,Green Party,2.8,1.9
24055,Papineau,Liberal,52,37.9
24055,Papineau,Conservative,4.7,5
24055,Papineau,Other,2.4,0.8
24056,Pierrefonds--Dollard,Conservative,20,26.9
24056,Pierrefonds--Dollard,Liberal,58.7,30.5
24056,Pierrefonds--Dollard,NDP-New Democratic Party,16.4,34.1
24056,Pierrefonds--Dollard,Bloc Quebecois,3.5,5.0
24056,Pierrefonds--Dollard,Green Party,1.5,3.6
24057,Pontiac,Liberal,54.5,15.2
24057,Pontiac,Green Party,1.7,1.6
24057,Pontiac,Bloc Quebecois,6.9,9.5
24057,Pontiac,NDP-New Democratic Party,22.5,47.3
24057,Pontiac,Conservative,13.9,26.2
24057,Pontiac,Other,0.4,0.2
24058,Portneuf--Jacques-Cartier,Liberal,21.5,6.6
24058,Portneuf--Jacques-Cartier,Conservative,44,0
24058,Portneuf--Jacques-Cartier,Bloc Quebecois,10.7,20.5
24058,Portneuf--Jacques-Cartier,NDP-New Democratic Party,22.1,42.7
24058,Portneuf--Jacques-Cartier,Green Party,1.8,2.4
24059,Quebec,Conservative,21.8,17.8
24059,Quebec,Liberal,28.9,9.0
24059,Quebec,Bloc Quebecois,18.8,28.0
24059,Quebec,NDP-New Democratic Party,27,42.6
24059,Quebec,Green Party,2.9,2.2
24059,Quebec,Other,0.5,0.4
24060,Repentigny,NDP-New Democratic Party,23.3,52.1
24060,Repentigny,Liberal,27.3,7.9
24060,Repentigny,Green Party,1.9,1.7
24060,Repentigny,Conservative,10.8,7.5
24060,Repentigny,Bloc Quebecois,34.7,30.8
24060,Repentigny,Other,2,0.0
24061,Richmond--Arthabaska,NDP-New Democratic Party,24.2,32.5
24061,Richmond--Arthabaska,Green Party,1.7,2.1
24061,Richmond--Arthabaska,Liberal,24.7,7.0
24061,Richmond--Arthabaska,Bloc Quebecois,17.2,33.8
24061,Richmond--Arthabaska,Conservative,31.6,24.7
24061,Richmond--Arthabaska,Other,0.7,0.0
24062,Riviere-des-Mille-iles,Conservative,10.5,10.3
24062,Riviere-des-Mille-iles,Liberal,32.4,11.1
24062,Riviere-des-Mille-iles,NDP-New Democratic Party,29.5,49.1
24062,Riviere-des-Mille-iles,Bloc Quebecois,25.4,27.1
24062,Riviere-des-Mille-iles,Green Party,2,2.4
24062,Riviere-des-Mille-iles,Other,0.3,0.0
24063,Riviere-du-Nord,Liberal,26.4,6.5
24063,Riviere-du-Nord,NDP-New Democratic Party,30.1,55.1
24063,Riviere-du-Nord,Bloc Quebecois,32,28.2
24063,Riviere-du-Nord,Green Party,2.5,1.8
24063,Riviere-du-Nord,Conservative,8.5,8.4
24063,Riviere-du-Nord,Other,0.5,0.0
24064,Rosemont--La Petite-Patrie,Bloc Quebecois,21.1,32.8
24064,Rosemont--La Petite-Patrie,NDP-New Democratic Party,49.2,51.1
24064,Rosemont--La Petite-Patrie,Conservative,4.3,4.3
24064,Rosemont--La Petite-Patrie,Liberal,20.7,9.1
24064,Rosemont--La Petite-Patrie,Green Party,3.1,1.7
24064,Rosemont--La Petite-Patrie,Other,1.7,1.0
24065,Marc-Aurele-Fortin,Bloc Quebecois,21.7,24.3
24065,Marc-Aurele-Fortin,NDP-New Democratic Party,23.5,49.0
24065,Marc-Aurele-Fortin,Conservative,11.9,10.4
24065,Marc-Aurele-Fortin,Green Party,1.9,2.3
24065,Marc-Aurele-Fortin,Liberal,40.9,13.8
24066,Saint-Hyacinthe--Bagot,Green Party,2.3,1.9
24066,Saint-Hyacinthe--Bagot,Bloc Quebecois,24.3,24.6
24066,Saint-Hyacinthe--Bagot,Conservative,16.7,15.7
24066,Saint-Hyacinthe--Bagot,NDP-New Democratic Party,28.7,52.4
24066,Saint-Hyacinthe--Bagot,Liberal,27.6,5.4
24066,Saint-Hyacinthe--Bagot,Other,0.5,0.0
24067,Saint-Jean,Conservative,10.8,10.7
24067,Saint-Jean,Bloc Quebecois,24.8,30.5
24067,Saint-Jean,NDP-New Democratic Party,29.1,47.5
24067,Saint-Jean,Green Party,2.1,2.5
24067,Saint-Jean,Liberal,33.2,8.8
24068,Saint-Laurent,NDP-New Democratic Party,11.5,29.1
24068,Saint-Laurent,Liberal,61.6,42.9
24068,Saint-Laurent,Bloc Quebecois,4.7,6.4
24068,Saint-Laurent,Green Party,2.4,2.1
24068,Saint-Laurent,Conservative,19.5,19.1
24068,Saint-Laurent,Other,0.3,0.4
24069,Saint-Leonard--Saint-Michel,Liberal,64.7,42.2
24069,Saint-Leonard--Saint-Michel,NDP-New Democratic Party,14.8,32.3
24069,Saint-Leonard--Saint-Michel,Conservative,11.1,13.6
24069,Saint-Leonard--Saint-Michel,Bloc Quebecois,7.2,9.6
24069,Saint-Leonard--Saint-Michel,Green Party,1.8,1.8
24069,Saint-Leonard--Saint-Michel,Other,0.3,0.5
24070,Saint-Maurice--Champlain,Bloc Quebecois,19.2,28.5
24070,Saint-Maurice--Champlain,Liberal,41.5,10.9
24070,Saint-Maurice--Champlain,Conservative,16.3,17.1
24070,Saint-Maurice--Champlain,Green Party,1.9,2.0
24070,Saint-Maurice--Champlain,NDP-New Democratic Party,20.8,41.3
24070,Saint-Maurice--Champlain,Other,0.3,0.2
24071,Salaberry--Suroit,Conservative,10,12.7
24071,Salaberry--Suroit,Bloc Quebecois,28.4,33.7
24071,Salaberry--Suroit,NDP-New Democratic Party,30.4,43.6
24071,Salaberry--Suroit,Liberal,29.2,8.1
24071,Salaberry--Suroit,Green Party,1.4,1.8
24071,Salaberry--Suroit,Other,0.7,0.0
24072,Shefford,Bloc Quebecois,22.2,23.4
24072,Shefford,Liberal,39,9.0
24072,Shefford,Conservative,12.8,14.6
24072,Shefford,NDP-New Democratic Party,23.7,51.1
24072,Shefford,Green Party,2.4,1.9
24073,Sherbrooke,Liberal,29.8,9.8
24073,Sherbrooke,Bloc Quebecois,20.4,35.4
24073,Sherbrooke,Conservative,9.4,9.2
24073,Sherbrooke,NDP-New Democratic Party,37.4,43.5
24073,Sherbrooke,Green Party,2,1.7
24073,Sherbrooke,Other,1,0.4
24074,Vaudreuil--Soulanges,Conservative,13.8,17.6
24074,Vaudreuil--Soulanges,Bloc Quebecois,15,23.7
24074,Vaudreuil--Soulanges,Green Party,2.2,2.8
24074,Vaudreuil--Soulanges,NDP-New Democratic Party,22.3,43.5
24074,Vaudreuil--Soulanges,Liberal,46.6,12.4
24075,Terrebonne,Liberal,28,6.9
24075,Terrebonne,NDP-New Democratic Party,25.6,51.5
24075,Terrebonne,Bloc Quebecois,33,30.8
24075,Terrebonne,Green Party,1.7,2.7
24075,Terrebonne,Conservative,11.3,8.1
24075,Terrebonne,Other,0.3,0.0
24076,Trois-Rivieres,NDP-New Democratic Party,31.8,49.7
24076,Trois-Rivieres,Liberal,30.2,10.0
24076,Trois-Rivieres,Conservative,18.6,13.1
24076,Trois-Rivieres,Green Party,1.7,1.9
24076,Trois-Rivieres,Bloc Quebecois,17,24.2
24076,Trois-Rivieres,Other,0.6,1.0
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Green Party,4.8,2.8
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Liberal,50.8,27.5
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Conservative,11.9,11.9
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Bloc Quebecois,8.6,16.0
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,NDP-New Democratic Party,23.4,41.5
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,Other,0.5,0.3
24078,Vimy,NDP-New Democratic Party,21,42.7
24078,Vimy,Bloc Quebecois,16.7,21.7
24078,Vimy,Conservative,13.4,12.8
24078,Vimy,Liberal,46.2,20.4
24078,Vimy,Green Party,2.4,1.9
24078,Vimy,Other,0.5,0.5
35001,Ajax,Conservative,34.4,44.2
35001,Ajax,NDP-New Democratic Party,8.2,15.0
35001,Ajax,Green Party,1.4,2.7
35001,Ajax,Liberal,55.9,37.9
35001,Ajax,Other,0.1,0.1
35002,Algoma--Manitoulin--Kapuskasing,NDP-New Democratic Party,39.9,49.9
35002,Algoma--Manitoulin--Kapuskasing,Green Party,2.2,3.1
35002,Algoma--Manitoulin--Kapuskasing,Conservative,23.7,32.5
35002,Algoma--Manitoulin--Kapuskasing,Liberal,34.1,14.5
35003,Aurora--Oak Ridges--Richmond Hill,Liberal,47.3,27.9
35003,Aurora--Oak Ridges--Richmond Hill,Conservative,45.2,51.5
35003,Aurora--Oak Ridges--Richmond Hill,NDP-New Democratic Party,5.7,16.0
35003,Aurora--Oak Ridges--Richmond Hill,Green Party,1.3,3.5
35003,Aurora--Oak Ridges--Richmond Hill,Other,0.5,1.2
35004,Barrie--Innisfil,Conservative,46.4,61.3
35004,Barrie--Innisfil,NDP-New Democratic Party,11.8,20.3
35004,Barrie--Innisfil,Green Party,4,5.3
35004,Barrie--Innisfil,Liberal,37.1,12.5
35004,Barrie--Innisfil,Other,0.7,0.6
35005,Barrie--Springwater--Oro-Medonte,Green Party,5.2,6.1
35005,Barrie--Springwater--Oro-Medonte,Conservative,41.8,54.6
35005,Barrie--Springwater--Oro-Medonte,Liberal,41.5,16.9
35005,Barrie--Springwater--Oro-Medonte,NDP-New Democratic Party,10.3,20.0
35005,Barrie--Springwater--Oro-Medonte,Other,1.2,2.4
35006,Bay of Quinte,NDP-New Democratic Party,12.1,23.0
35006,Bay of Quinte,Liberal,50.7,20.9
35006,Bay of Quinte,Conservative,34.3,51.8
35006,Bay of Quinte,Green Party,2.2,3.8
35006,Bay of Quinte,Other,0.6,0.5
35007,Beaches--East York,Conservative,16.4,22.7
35007,Beaches--East York,Liberal,49.4,30.8
35007,Beaches--East York,NDP-New Democratic Party,30.8,41.6
35007,Beaches--East York,Green Party,2.6,4.6
35007,Beaches--East York,Other,0.8,0.3
35008,Brampton Centre,Green Party,2.1,4.4
35008,Brampton Centre,Conservative,33.7,46.4
35008,Brampton Centre,NDP-New Democratic Party,15.1,23.2
35008,Brampton Centre,Liberal,48.6,25.4
35008,Brampton Centre,Other,0.4,0.6
35009,Brampton East,Conservative,23.5,29.5
35009,Brampton East,Liberal,52.3,30.7
35009,Brampton East,NDP-New Democratic Party,23,37.6
35009,Brampton East,Green Party,1.1,1.7
35010,Brampton North,Conservative,33,48.9
35010,Brampton North,Liberal,48.4,28.2
35010,Brampton North,NDP-New Democratic Party,16.5,18.8
35010,Brampton North,Green Party,1.9,3.7
35010,Brampton North,Other,0.2,0.5
35011,Brampton South,Green Party,2.2,2.3
35011,Brampton South,NDP-New Democratic Party,10.7,16.4
35011,Brampton South,Conservative,35,45.4
35011,Brampton South,Liberal,52.1,35.4
35012,Brampton West,Green Party,1.6,1.6
35012,Brampton West,Liberal,55.9,36.1
35012,Brampton West,NDP-New Democratic Party,12.4,19.6
35012,Brampton West,Conservative,30.1,42
35013,Brantford--Brant,Green Party,2.5,3.2
35013,Brantford--Brant,NDP-New Democratic Party,24.8,28.9
35013,Brantford--Brant,Conservative,40.9,48.4
35013,Brantford--Brant,Liberal,30.7,18.9
35013,Brantford--Brant,Other,1.1,0.5
35014,Bruce--Grey--Owen Sound,Green Party,3.3,10.0
35014,Bruce--Grey--Owen Sound,Liberal,38.8,16.1
35014,Bruce--Grey--Owen Sound,NDP-New Democratic Party,11.1,17.6
35014,Bruce--Grey--Owen Sound,Conservative,46.7,56.3
35015,Burlington,Green Party,2.4,3.5
35015,Burlington,Liberal,46,23.2
35015,Burlington,NDP-New Democratic Party,9.1,18.9
35015,Burlington,Conservative,42.5,54.1
35016,Cambridge,Green Party,3.2,3.6
35016,Cambridge,Conservative,38.6,52.7
35016,Cambridge,Liberal,43.2,15.4
35016,Cambridge,NDP-New Democratic Party,13.9,27.9
35016,Cambridge,Other,1.1,0.3
35017,Chatham-Kent--Leamington,Liberal,37.2,16.3
35017,Chatham-Kent--Leamington,Conservative,41.7,53.2
35017,Chatham-Kent--Leamington,Green Party,2.7,3.3
35017,Chatham-Kent--Leamington,NDP-New Democratic Party,18.4,27.2
35018,Davenport,NDP-New Democratic Party,41.4,53.7
35018,Davenport,Liberal,44.3,27.9
35018,Davenport,Conservative,10.6,14.2
35018,Davenport,Green Party,3.1,3.4
35018,Davenport,Other,0.7,0.8
35019,Don Valley East,NDP-New Democratic Party,10.4,21.9
35019,Don Valley East,Conservative,29.2,36.4
35019,Don Valley East,Liberal,57.8,38.4
35019,Don Valley East,Green Party,2.6,2.8
35020,Don Valley North,Green Party,2.2,1.3
35020,Don Valley North,Conservative,37.8,40.3
35020,Don Valley North,NDP-New Democratic Party,8.5,20.7
35020,Don Valley North,Liberal,51.4,37.3
35021,Don Valley West,Conservative,37.6,43.9
35021,Don Valley West,Green Party,1.7,3.6
35021,Don Valley West,Liberal,53.8,41.5
35021,Don Valley West,NDP-New Democratic Party,6,10.7
35021,Don Valley West,Other,0.9,0.3
35022,Dufferin--Caledon,Liberal,39.1,13.1
35022,Dufferin--Caledon,Conservative,46.3,59
35022,Dufferin--Caledon,Green Party,7.3,14.7
35022,Dufferin--Caledon,NDP-New Democratic Party,7.3,13.2
35023,Durham,Green Party,2.5,4.6
35023,Durham,Conservative,45.1,55.2
35023,Durham,NDP-New Democratic Party,16,23.7
35023,Durham,Liberal,35.8,15.5
35023,Durham,Other,0.6,1.0
35024,Eglinton--Lawrence,Green Party,1.4,3.2
35024,Eglinton--Lawrence,Liberal,48.9,38.4
35024,Eglinton--Lawrence,Conservative,42.6,46.8
35024,Eglinton--Lawrence,NDP-New Democratic Party,6.3,11.6
35024,Eglinton--Lawrence,Other,0.8,0.0
35025,Elgin--Middlesex--London,Liberal,31,13.4
35025,Elgin--Middlesex--London,Green Party,3.1,3.0
35025,Elgin--Middlesex--London,NDP-New Democratic Party,15.4,24.1
35025,Elgin--Middlesex--London,Conservative,49.2,58.1
35025,Elgin--Middlesex--London,Other,1.2,1.4
35026,Essex,Green Party,1.9,2.4
35026,Essex,Liberal,20.9,14.3
35026,Essex,NDP-New Democratic Party,41.4,34.9
35026,Essex,Conservative,35.7,48.3
35026,Essex,Other,0.1,0.1
35027,Etobicoke Centre,NDP-New Democratic Party,7.9,14.6
35027,Etobicoke Centre,Conservative,37.3,41.9
35027,Etobicoke Centre,Green Party,1.4,2.7
35027,Etobicoke Centre,Liberal,52.8,40.6
35027,Etobicoke Centre,Other,0.6,0.3
35028,Etobicoke--Lakeshore,Liberal,53.7,35.1
35028,Etobicoke--Lakeshore,Green Party,2.3,4.0
35028,Etobicoke--Lakeshore,NDP-New Democratic Party,10.9,20.3
35028,Etobicoke--Lakeshore,Conservative,32.4,40.2
35028,Etobicoke--Lakeshore,Other,0.7,0.4
35029,Etobicoke North,Green Party,1.2,0.2
35029,Etobicoke North,Conservative,23,32
35029,Etobicoke North,Liberal,62.4,42.6
35029,Etobicoke North,NDP-New Democratic Party,12.4,23.6
35029,Etobicoke North,Other,1,1.7
35030,Flamborough--Glanbrook,NDP-New Democratic Party,14,22.8
35030,Flamborough--Glanbrook,Liberal,39.1,16.9
35030,Flamborough--Glanbrook,Conservative,43.5,55.4
35030,Flamborough--Glanbrook,Green Party,3.4,4.2
35031,Glengarry--Prescott--Russell,Liberal,53.3,30.6
35031,Glengarry--Prescott--Russell,NDP-New Democratic Party,7.9,16.7
35031,Glengarry--Prescott--Russell,Conservative,36.4,48.8
35031,Glengarry--Prescott--Russell,Green Party,1.8,3.6
35031,Glengarry--Prescott--Russell,Other,0.6,0.3
35032,Guelph,Conservative,26.3,32.8
35032,Guelph,Liberal,49.1,43.4
35032,Guelph,Green Party,11.3,6.1
35032,Guelph,NDP-New Democratic Party,12,16.7
35032,Guelph,Other,1.2,1.0
35033,Haldimand--Norfolk,Green Party,3.3,3.3
35033,Haldimand--Norfolk,Conservative,44.1,50.9
35033,Haldimand--Norfolk,NDP-New Democratic Party,13.6,20.0
35033,Haldimand--Norfolk,Liberal,36.6,24.9
35033,Haldimand--Norfolk,Other,2.4,0.9
35034,Haliburton--Kawartha Lakes--Brock,Green Party,4,5.0
35034,Haliburton--Kawartha Lakes--Brock,Liberal,31.8,12.9
35034,Haliburton--Kawartha Lakes--Brock,NDP-New Democratic Party,19.4,22.1
35034,Haliburton--Kawartha Lakes--Brock,Conservative,44.8,60
35035,Hamilton Centre,NDP-New Democratic Party,45.6,60.3
35035,Hamilton Centre,Conservative,14.6,23.5
35035,Hamilton Centre,Green Party,4.3,0.5
35035,Hamilton Centre,Liberal,33.4,13.1
35035,Hamilton Centre,Other,2.1,2.7
35036,Hamilton East--Stoney Creek,Liberal,39,13.6
35036,Hamilton East--Stoney Creek,Conservative,25.3,36.9
35036,Hamilton East--Stoney Creek,Green Party,2.6,2.8
35036,Hamilton East--Stoney Creek,NDP-New Democratic Party,32.7,44.3
35036,Hamilton East--Stoney Creek,Other,0.4,2.4
35037,Hamilton Mountain,Green Party,2.5,2.8
35037,Hamilton Mountain,Liberal,33.5,15.6
35037,Hamilton Mountain,NDP-New Democratic Party,35.9,48.4
35037,Hamilton Mountain,Conservative,25.7,32.3
35037,Hamilton Mountain,Other,2.4,0.8
35038,Hamilton West--Ancaster--Dundas,NDP-New Democratic Party,16.3,28.2
35038,Hamilton West--Ancaster--Dundas,Green Party,4.2,3.7
35038,Hamilton West--Ancaster--Dundas,Conservative,31.8,42.4
35038,Hamilton West--Ancaster--Dundas,Liberal,47.7,24.9
35039,Hastings--Lennox and Addington,NDP-New Democratic Party,12.7,24.0
35039,Hastings--Lennox and Addington,Liberal,42.4,17.1
35039,Hastings--Lennox and Addington,Conservative,41.9,54.9
35039,Hastings--Lennox and Addington,Green Party,2.9,3.4
35040,Huron--Bruce,NDP-New Democratic Party,13,25.3
35040,Huron--Bruce,Conservative,44.9,54.9
35040,Huron--Bruce,Green Party,2.4,2.7
35040,Huron--Bruce,Liberal,39.7,16.5
35041,Kanata--Carleton,NDP-New Democratic Party,6.8,15.3
35041,Kanata--Carleton,Liberal,51.3,26.5
35041,Kanata--Carleton,Conservative,39.2,53.7
35041,Kanata--Carleton,Green Party,2.7,4.5
35042,Kenora,NDP-New Democratic Party,33.9,27.9
35042,Kenora,Green Party,1.6,2.6
35042,Kenora,Liberal,35.5,21.9
35042,Kenora,Conservative,28.5,47
35042,Kenora,Other,0.5,0.6
35043,King--Vaughan,Green Party,1.9,2.7
35043,King--Vaughan,NDP-New Democratic Party,6.5,12.3
35043,King--Vaughan,Liberal,47.4,27.5
35043,King--Vaughan,Conservative,44.2,57.1
35044,Kingston and the Islands,NDP-New Democratic Party,17,21.6
35044,Kingston and the Islands,Conservative,22.7,34.1
35044,Kingston and the Islands,Liberal,55.4,40.0
35044,Kingston and the Islands,Green Party,4.5,4.3
35044,Kingston and the Islands,Other,0.5,0.0
35045,Kitchener Centre,NDP-New Democratic Party,16.6,21.9
35045,Kitchener Centre,Liberal,48.8,32.3
35045,Kitchener Centre,Green Party,3.1,4.6
35045,Kitchener Centre,Conservative,30.4,40.4
35045,Kitchener Centre,Other,1.2,0.8
35046,Kitchener--Conestoga,Conservative,43.3,54.4
35046,Kitchener--Conestoga,Green Party,2.8,3.6
35046,Kitchener--Conestoga,Liberal,42.8,23.5
35046,Kitchener--Conestoga,NDP-New Democratic Party,9.8,18.3
35046,Kitchener--Conestoga,Other,1.4,0.2
35047,Kitchener South--Hespeler,NDP-New Democratic Party,15.6,25.8
35047,Kitchener South--Hespeler,Conservative,36.7,51.2
35047,Kitchener South--Hespeler,Liberal,42.3,18.9
35047,Kitchener South--Hespeler,Green Party,3.7,4.0
35047,Kitchener South--Hespeler,Other,1.8,0.1
35048,Lambton--Kent--Middlesex,Liberal,29.4,14.2
35048,Lambton--Kent--Middlesex,NDP-New Democratic Party,17,24.0
35048,Lambton--Kent--Middlesex,Green Party,3.3,3.3
35048,Lambton--Kent--Middlesex,Conservative,50.2,57.7
35049,Lanark--Frontenac--Kingston,Liberal,33.8,16.4
35049,Lanark--Frontenac--Kingston,NDP-New Democratic Party,14.1,18.1
35049,Lanark--Frontenac--Kingston,Green Party,3.5,4.9
35049,Lanark--Frontenac--Kingston,Conservative,47.9,60.1
35049,Lanark--Frontenac--Kingston,Other,0.7,0.5
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,NDP-New Democratic Party,8.4,18.3
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Conservative,47.4,60.8
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Liberal,40.6,15.9
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Green Party,3.7,5.0
35051,London--Fanshawe,Conservative,27.2,33.9
35051,London--Fanshawe,NDP-New Democratic Party,37.8,49.8
35051,London--Fanshawe,Green Party,2.9,3.0
35051,London--Fanshawe,Liberal,31.4,12.0
35051,London--Fanshawe,Other,0.6,1.2
35052,London North Centre,Green Party,3.6,4.0
35052,London North Centre,Liberal,50.5,34.2
