Geo_Code,FED_Name,TotPopAged15YearsAndOverByHighestDiploma,NoDiploma,HighSchoolDiplomaOrEquivalent,PostsecondaryCertificateDiplomaOrDegree,ApprenticeshipOrTradesCertificateOrDiploma,CollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,UniversityCertificateOrDiplomaBelowBachelorLevel,UniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,BachelorDegree,UniversityCertificateDiplomaOrDegreeAboveBachelorLevel,MaleTotPopAged15YearsAndOverByHighestDiploma,MaleNoDiploma,MaleHighSchoolDiplomaOrEquivalent,MalePostsecondaryCertificateDiplomaOrDegree,MaleApprenticeshipOrTradesCertificateOrDiploma,MaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,MaleUniversityCertificateOrDiplomaBelowBachelorLevel,MaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,MaleBachelorDegree,MaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel,FemaleTotPopAged15YearsAndOverByHighestDiploma,FemaleNoDiploma,FemaleHighSchoolDiplomaOrEquivalent,FemalePostsecondaryCertificateDiplomaOrDegree,FemaleApprenticeshipOrTradesCertificateOrDiploma,FemaleCollegeCEGEPOrOtherNonUniversityCertificateOrDiploma,FemaleUniversityCertificateOrDiplomaBelowBachelorLevel,FemaleUniversityCertificateDiplomaOrDegreeAtBachelorLevelOrAbove,FemaleBachelorDegree,FemaleUniversityCertificateDiplomaOrDegreeAboveBachelorLevel
24077,Ville-Marie--Le Sud-Ouest--ile-des-Soeurs,89695,9550,15425,64725,4910,11730,6480,41600,22630,18970,45565,4675,7860,33030,2680,5450,2985,21915,11545,10370,44130,4880,7560,31690,2235,6275,3495,19685,11090,8600
24078,Vimy,85755,20185,20015,45560,11575,13545,4940,15505,10300,5205,40920,9590,8865,22470,6705,6110,1955,7700,4785,2915,44835,10595,11155,23095,4870,7435,2985,7805,5515,2290
35001,Ajax,86545,12655,25240,48645,5565,20050,4955,18070,12300,5775,41250,6150,12175,22925,3700,8925,2235,8060,5135,2925,45290,6510,13070,25715,1865,11125,2725,10005,7160,2850
35002,Algoma--Manitoulin--Kapuskasing,67185,19055,17200,30930,8845,13800,1720,6570,4245,2320,33325,10200,7275,15850,6520,6190,600,2540,1655,885,33860,8850,9920,15085,2325,7610,1120,4030,2595,1435
35003,Aurora--Oak Ridges--Richmond Hill,82325,10675,18590,53060,3915,14245,4710,30185,19405,10785,40025,5310,8475,26240,2495,6570,2090,15090,9090,5995,42295,5360,10120,26815,1425,7675,2620,15100,10315,4785
35004,Barrie--Innisfil,79230,15075,24540,39610,7530,18515,2605,10965,7145,3825,38885,8040,11750,19090,5300,8100,1200,4490,2800,1690,40340,7035,12790,20520,2225,10410,1405,6480,4340,2135
35005,Barrie--Springwater--Oro-Medonte,80365,14600,23610,42160,7035,20575,2250,12300,8110,4190,38950,7230,11520,20200,5045,8820,935,5400,3585,1810,41420,7370,12090,21955,1990,11755,1310,6895,4520,2375
35006,Bay of Quinte,90770,20480,27300,42990,8540,21400,1855,11190,7455,3735,43720,9975,12895,20850,5935,8880,755,5275,3330,1945,47055,10510,14400,22135,2605,12515,1095,5915,4125,1790
35007,Beaches--East York,87540,13405,20300,53840,4375,14930,3600,30935,19015,11920,41580,6550,9980,25055,2905,6710,1550,13895,8395,5500,45960,6855,10320,28780,1470,8225,2050,17035,10620,6420
35008,Brampton Centre,83110,17520,25575,40015,6070,16355,3545,14040,8955,5085,40425,8410,12190,19825,4235,7195,1565,6835,4280,2550,42685,9110,13385,20190,1835,9165,1985,7205,4675,2535
35009,Brampton East,74655,15865,21270,37520,3690,12720,4295,16820,10315,6510,36745,7540,10630,18580,2445,6070,2115,7955,4880,3070,37910,8330,10640,18940,1240,6645,2180,8870,5430,3435
35010,Brampton North,88255,16530,27090,44635,5380,16470,5355,17435,10950,6485,43440,7960,13500,21980,3585,7490,2495,8410,5310,3100,44815,8570,13590,22655,1790,8975,2865,9025,5640,3390
35011,Brampton South,85105,17535,24820,42750,5615,14555,4930,17650,10515,7135,41275,8210,12145,20920,3600,6175,2550,8600,5080,3520,43835,9330,12675,21825,2015,8385,2385,9045,5430,3615
35012,Brampton West,75780,14045,19880,41850,5390,15495,4935,16030,9640,6385,36460,6495,10035,19935,3560,6645,2450,7275,4260,3010,39315,7555,9840,21915,1835,8850,2485,8755,5380,3370
35013,Brantford--Brant,106025,25660,30155,50210,9995,24230,3175,12805,8395,4405,50755,12615,14365,23775,6685,9955,1305,5830,3670,2160,55270,13045,15790,26435,3315,14275,1870,6975,4730,2250
35014,Bruce--Grey--Owen Sound,87595,20435,25390,41770,9605,19490,2170,10510,6690,3820,43025,10585,12360,20075,7140,7490,870,4580,2750,1825,44570,9850,13030,21690,2460,12000,1300,5930,3935,1995
35015,Burlington,101200,13475,28060,59670,6505,23830,4510,24820,16290,8530,48075,6665,12730,28685,4405,9845,2170,12260,7940,4315,53125,6810,15330,30980,2100,13985,2335,12560,8350,4210
35016,Cambridge,89545,21670,27195,40685,8010,18930,2305,11435,7480,3955,43735,10565,13100,20075,5650,7975,1130,5320,3390,1930,45810,11100,14100,20610,2370,10955,1175,6115,4090,2025
35017,Chatham-Kent--Leamington,88955,25675,26340,36940,7180,19035,1805,8915,5915,3005,42950,12885,12860,17205,4845,7490,880,3995,2630,1365,46005,12790,13480,19730,2335,11545,930,4920,3285,1635
35018,Davenport,88490,25080,20405,43010,5210,12470,2950,22375,14660,7720,43420,12155,10825,20440,3420,5610,1375,10035,6585,3450,45070,12925,9580,22565,1790,6860,1575,12340,8075,4270
35019,Don Valley East,76785,11865,19130,45785,4340,12950,4365,24130,14480,9650,35405,5430,8670,21305,2400,5240,1700,11970,6920,5050,41380,6435,10465,24480,1940,7710,2670,12165,7560,4600
35020,Don Valley North,87550,10830,18245,58480,3925,12205,6450,35895,21255,14640,40815,4980,7985,27855,2180,5090,2600,17990,9955,8035,46730,5850,10260,30620,1750,7115,3850,17905,11305,6605
35021,Don Valley West,80120,7955,14765,57400,2350,9835,4365,40860,23620,17240,37475,3645,6805,27020,1335,4090,1830,19770,10560,9210,42640,4315,7955,30380,1015,5740,2540,21085,13060,8030
35022,Dufferin--Caledon,92335,16510,28180,47645,8530,20250,3360,15505,10215,5290,45705,8570,13545,23580,6195,8965,1615,6800,4400,2405,46630,7935,14630,24070,2330,11290,1745,8705,5815,2885
35023,Durham,91815,15670,27500,48640,8095,24365,2665,13515,9385,4130,45165,7905,13720,23540,5645,10680,1205,6015,4125,1885,46650,7765,13785,25095,2450,13690,1460,7500,5255,2245
35024,Eglinton--Lawrence,90230,13075,19155,58000,3860,11705,4820,37615,21775,15840,40715,6080,8905,25720,2065,4510,1675,17470,9505,7970,49515,6990,10250,32280,1800,7190,3145,20140,12275,7870
35025,Elgin--Middlesex--London,87515,20930,26155,40425,7965,20275,2540,9645,6265,3380,42795,10845,12745,19210,5270,8530,1225,4185,2620,1560,44715,10085,13415,21215,2690,11745,1320,5465,3650,1815
35026,Essex,95650,18010,29135,48510,8610,20910,2820,16165,9975,6195,47165,9120,14160,23885,6020,9300,1340,7235,4405,2830,48480,8890,14970,24620,2595,11615,1480,8935,5570,3360
35027,Etobicoke Centre,95880,15270,24470,56145,5985,15535,5495,29130,17715,11415,44975,6790,11180,27010,3670,6925,2485,13930,8080,5855,50905,8480,13290,29135,2315,8610,3015,15200,9635,5560
35028,Etobicoke--Lakeshore,98790,14515,21990,62285,5570,18055,5230,33420,20375,13045,47195,6880,10415,29905,3495,7800,2305,16305,9820,6485,51590,7640,11575,32380,2075,10260,2920,17120,10560,6565
35029,Etobicoke North,92525,23585,27925,41020,5785,14115,4605,16515,10405,6110,44440,10640,13360,20440,3670,6260,2245,8265,4995,3270,48085,12945,14560,20580,2115,7860,2360,8250,5410,2840
35030,Flamborough--Glanbrook,77585,13090,20915,43580,7175,18585,2660,15165,9710,5450,38015,6540,10145,21330,5185,8465,1190,6495,4050,2435,39570,6545,10770,22250,1990,10120,1470,8675,5660,3015
35031,Glengarry--Prescott--Russell,85950,18940,25615,41395,8645,17855,2735,12160,8205,3955,42770,10225,12465,20080,5460,8230,1155,5230,3285,1945,43180,8715,13150,21315,3180,9620,1580,6930,4920,2010
35032,Guelph,99060,17170,26690,55200,6795,18685,3520,26200,15690,10510,47595,8685,12805,26100,4450,7875,1720,12060,7010,5050,51465,8480,13885,29100,2350,10810,1795,14140,8680,5460
35033,Haldimand--Norfolk,88185,21240,25550,41395,9600,20755,2220,8820,5950,2870,43615,10500,12595,20515,6765,8865,1005,3880,2565,1315,44570,10745,12955,20875,2835,11890,1215,4940,3380,1555
35034,Haliburton--Kawartha Lakes--Brock,92475,20145,27995,44330,9795,21590,2230,10715,6795,3915,45715,10825,13045,21845,7150,8945,1140,4610,2640,1975,46765,9325,14955,22485,2645,12650,1095,6100,4155,1945
35035,Hamilton Centre,82950,22900,21840,38210,6465,14865,2475,14410,8305,6110,41235,11410,11385,18435,4215,6225,1155,6840,3825,3015,41715,11485,10450,19780,2245,8640,1320,7570,4475,3090
35036,Hamilton East--Stoney Creek,89695,23860,26905,38925,8250,18375,2300,9995,6365,3630,43010,11060,13040,18915,5585,7700,1055,4575,2870,1705,46685,12805,13870,20010,2665,10675,1245,5425,3495,1925
35037,Hamilton Mountain,85495,19775,24455,41265,8740,19425,2980,10125,6580,3545,40600,9165,11880,19550,5675,8090,1320,4460,2800,1655,44900,10610,12575,21715,3065,11335,1655,5660,3775,1890
35038,Hamilton West--Ancaster--Dundas,88330,12760,21605,53960,5625,17540,4270,26525,14640,11890,42350,6045,10345,25960,3755,7420,1920,12865,6615,6250,45980,6715,11270,28000,1875,10115,2350,13660,8020,5640
35039,Hastings--Lennox and Addington,75765,17935,21515,36310,8920,17960,1560,7865,5215,2655,37300,9640,9875,17780,6355,7495,735,3200,1995,1205,38470,8290,11640,18530,2570,10470,825,4665,3220,1445
35040,Huron--Bruce,85770,20295,23495,41980,9230,20090,2165,10495,7000,3495,42445,10750,11025,20665,6665,8325,1020,4655,2925,1725,43335,9545,12475,21315,2560,11765,1150,5840,4075,1770
35041,Kanata--Carleton,79095,8840,17440,52810,3965,16785,3260,28800,17315,11490,38690,4445,8215,26030,2470,7615,1440,14510,8195,6315,40400,4395,9225,26775,1505,9165,1820,14290,9115,5170
35042,Kenora,42850,12935,10810,19105,4815,8110,1250,4930,3280,1645,21400,6885,5145,9370,3640,3195,515,2020,1360,660,21450,6045,5670,9735,1175,4915,735,2910,1920,990
35043,King--Vaughan,84275,15595,21780,46905,5710,15150,4585,21455,13895,7565,41300,7525,10765,23010,3860,6940,2105,10110,6320,3785,42980,8070,11010,23895,1855,8215,2480,11350,7570,3775
35044,Kingston and the Islands,96125,14385,25630,56105,7125,20715,2730,25535,13295,12245,45315,6790,12285,26240,4650,8270,1070,12250,5650,6600,50810,7600,13350,29865,2475,12445,1660,13290,7645,5645
35045,Kitchener Centre,85430,18425,23685,43325,6945,16835,2485,17060,10460,6600,41730,8675,11555,21505,4660,7500,1155,8195,4795,3400,43700,9750,12130,21820,2285,9335,1335,8865,5665,3200
35046,Kitchener--Conestoga,72005,15800,19235,36960,5530,14960,2220,14255,9300,4955,35390,7965,9035,18390,4110,6380,1020,6875,4405,2470,36615,7840,10200,18570,1420,8580,1200,7375,4890,2485
35047,Kitchener South--Hespeler,77335,14870,22915,39545,5925,17395,2450,13780,9445,4335,38075,7390,11330,19365,3960,7895,1140,6370,4385,1985,39255,7485,11585,20185,1965,9505,1310,7405,5055,2350
35048,Lambton--Kent--Middlesex,84975,20095,26680,38200,7925,19205,2000,9070,5855,3220,42150,10795,13000,18355,5730,7820,830,3980,2465,1515,42830,9300,13680,19840,2195,11385,1165,5090,3390,1700
35049,Lanark--Frontenac--Kingston,81080,15190,23070,42820,8415,20050,2080,12280,7870,4410,39725,8295,11020,20410,6100,8085,895,5335,3300,2030,41360,6905,12050,22410,2315,11965,1180,6950,4565,2385
35050,Leeds--Grenville--Thousand Islands and Rideau Lakes,82765,16205,24320,42230,7865,20595,2235,11530,7695,3835,40260,8275,11665,20320,5640,8330,1065,5280,3285,1995,42500,7930,12655,21915,2225,12270,1170,6250,4405,1840
35051,London--Fanshawe,96455,21960,30670,43825,8635,22030,2765,10395,6865,3530,46565,10810,14675,21080,5850,9415,1210,4610,2845,1765,49885,11145,15995,22745,2790,12620,1555,5780,4020,1765
35052,London North Centre,99575,14760,25795,59025,5960,20245,3695,29120,15525,13600,47910,7065,12490,28350,3800,8785,1645,14120,7080,7040,51665,7695,13305,30670,2155,11460,2045,15005,8445,6560
35053,London West,97835,13465,24845,59520,5610,22865,3940,27095,16585,10515,45910,6555,11895,27465,3495,9735,1610,12620,7355,5270,51915,6910,12955,32055,2115,13130,2330,14475,9225,5250
35054,Markham--Stouffville,86700,11970,21445,53280,4740,17230,5085,26215,17670,8545,41865,5605,10030,26225,3340,8030,2340,12510,8260,4250,44830,6365,11415,27055,1400,9205,2745,13710,9410,4300
35055,Markham--Thornhill,86010,17850,23150,45000,3780,11440,5430,24345,15795,8550,42315,8195,11455,22660,2350,5165,2640,12510,7865,4645,43695,9655,11695,22335,1430,6275,2795,11840,7930,3910
35056,Markham--Unionville,85275,12710,19695,52880,3035,11505,6335,31995,21365,10635,41000,5695,8955,26350,1705,5210,3105,16325,10430,5900,44280,7015,10735,26525,1335,6295,3235,15670,10935,4735
35057,Milton,65625,8390,15805,41430,4025,15735,2940,18730,12195,6535,32105,4360,7660,20090,2685,7245,1445,8710,5445,3265,33515,4035,8145,21340,1340,8490,1490,10020,6750,3270
35058,Mississauga Centre,99120,13950,23460,61715,5260,15365,7390,33700,20885,12805,48030,6470,11255,30300,3240,7075,3470,16515,9810,6710,51090,7480,12200,31415,2015,8295,3920,17180,11075,6105
35059,Mississauga East--Cooksville,100820,17980,27800,55045,6875,17605,5930,24635,14875,9760,48500,8240,13310,26955,4280,7985,2660,12035,6980,5050,52320,9740,14495,28085,2595,9620,3265,12610,7900,4710
35060,Mississauga--Erin Mills,93690,11425,21520,60745,4115,16555,6870,33210,19910,13295,45185,5705,10185,29290,2585,7285,3200,16230,9380,6850,48510,5720,11335,31455,1530,9270,3670,16980,10535,6445
35061,Mississauga--Lakeshore,98160,14200,25985,57980,5730,18240,5240,28775,17585,11190,47695,6785,12290,28620,3910,7810,2665,14240,8450,5790,50465,7415,13695,29355,1815,10425,2580,14530,9135,5400
35062,Mississauga--Malton,92840,17580,24020,51240,4950,15130,6250,24910,15105,9805,45330,8230,11655,25450,3155,6970,2980,12340,7275,5070,47505,9345,12370,25790,1795,8160,3275,12565,7825,4740
35063,Mississauga--Streetsville,95370,13055,24560,57755,5375,18825,6055,27495,17115,10380,46450,6445,11690,28310,3490,8605,2855,13355,7965,5390,48915,6605,12865,29445,1885,10215,3200,14140,9150,4990
35064,Nepean,82015,9405,18810,53805,4150,17810,3600,28245,17875,10370,39895,4750,8865,26285,2450,7930,1585,14320,8675,5645,42115,4655,9945,27520,1695,9880,2015,13925,9205,4720
35065,Newmarket--Aurora,87140,13460,23270,50415,5640,18865,3910,22000,14690,7310,41885,6555,11075,24250,3905,8110,1795,10445,6680,3765,45260,6905,12195,26160,1735,10755,2110,11560,8010,3550
35066,Niagara Centre,87460,19440,26835,41175,8535,19785,2135,10725,6325,4395,42210,9090,12930,20185,5980,8405,980,4820,2740,2085,45245,10345,13910,20995,2555,11375,1155,5905,3590,2315
35067,Niagara Falls,106065,21590,33260,51220,10140,22960,3525,14590,9035,5555,51185,10430,14875,25880,6965,10150,1765,7005,4245,2760,54880,11160,18385,25340,3185,12810,1760,7585,4790,2795
35068,Niagara West,70050,12530,19670,37850,7040,16545,2150,12120,7750,4370,34400,6595,9015,18790,5095,7215,1170,5315,3370,1940,35650,5935,10660,19055,1945,9325,980,6805,4380,2425
35069,Nickel Belt,74725,16955,18990,38780,9645,18795,1645,8695,5675,3025,37130,8380,9255,19495,7230,8225,570,3475,2190,1280,37600,8570,9730,19290,2415,10570,1080,5220,3480,1745
35070,Nipissing--Timiskaming,75500,16335,19880,39290,7495,19395,1530,10870,6800,4070,36755,8205,9965,18580,5075,8155,545,4805,2820,1985,38750,8125,9915,20710,2425,11240,985,6065,3975,2085
35071,Northumberland--Peterborough South,89185,17045,26920,45225,9015,21635,2330,12245,7975,4270,43530,8900,12735,21895,6465,8850,880,5695,3615,2075,45660,8145,14180,23330,2550,12785,1450,6550,4360,2190
35072,Oakville,97855,11950,22950,62955,4760,18410,5445,34345,21340,13000,46815,5690,10325,30800,2925,7915,2430,17530,10280,7245,51035,6260,12625,32150,1830,10495,3015,16820,11055,5760
35073,Oakville North--Burlington,85990,9425,18370,58200,3630,17755,4570,32250,20575,11670,41560,4720,8620,28220,2420,7845,2320,15640,9590,6055,44430,4700,9745,29980,1210,9915,2245,16610,10990,5620
35074,Oshawa,104660,24195,33220,47240,9215,24610,2670,10755,7280,3475,50460,12160,16065,22230,6400,10035,985,4815,3220,1595,54200,12035,17150,25010,2815,14570,1685,5940,4065,1875
35075,Ottawa Centre,96325,10260,17735,68330,3335,12925,2875,49195,26310,22885,46805,4815,8800,33190,2040,6175,1400,23580,12205,11370,49520,5440,8930,35140,1300,6750,1475,25620,14105,11510
35076,Orleans,96460,11350,24380,60725,5270,20915,4665,29880,19010,10870,46430,5645,11605,29180,3300,9245,2015,14620,8790,5835,50025,5705,12775,31545,1970,11670,2655,15255,10220,5035
35077,Ottawa South,100185,15065,24580,60540,5230,17685,4345,33280,19215,14060,47710,7035,11400,29270,2860,7865,1925,16620,8870,7745,52475,8025,13180,31270,2365,9820,2425,16655,10345,6315
35078,Ottawa--Vanier,93365,15230,22485,55650,5185,15135,3495,31830,17705,14125,44200,7430,10285,26480,2875,6910,1500,15195,7955,7235,49170,7800,12200,29165,2315,8225,1995,16635,9745,6890
35079,Ottawa West--Nepean,93260,13175,23085,57005,5175,17945,3960,29920,17440,12485,44180,6135,10860,27190,2995,7850,1685,14655,8035,6620,49080,7035,12225,29815,2175,10095,2275,15265,9400,5865
35080,Oxford,87265,21725,25820,39715,8345,20195,1930,9250,6245,3010,42870,11245,12490,19135,5760,8610,865,3905,2520,1380,44395,10480,13335,20580,2580,11585,1070,5350,3720,1625
35081,Parkdale--High Park,86990,11580,17645,57765,4095,13440,3785,36450,21350,15105,41425,5535,8585,27300,2495,6245,1770,16790,9440,7350,45570,6045,9060,30465,1595,7195,2015,19660,11910,7755
35082,Parry Sound--Muskoka,76505,17040,21770,37685,8520,16515,2285,10360,6455,3900,37730,8890,10035,18815,6355,6865,1120,4475,2775,1695,38770,8155,11735,18875,2165,9650,1170,5890,3685,2210
35083,Perth--Wellington,82630,23555,24500,34575,7825,15985,1665,9095,6140,2955,40505,12390,11540,16575,5465,6490,870,3755,2365,1390,42120,11165,12960,17995,2360,9500,795,5340,3780,1565
35084,Peterborough--Kawartha,96335,18790,27270,50275,9120,22080,2560,16515,9665,6855,46030,9040,13455,23540,6190,8855,1025,7465,4125,3335,50300,9755,13815,26730,2925,13225,1530,9050,5535,3515
35085,Pickering--Uxbridge,89635,13300,26805,49530,6180,20045,4175,19130,12820,6310,43275,6630,12635,24010,4255,8945,2095,8715,5635,3075,46360,6670,14170,25525,1925,11095,2085,10415,7185,3230
35086,Renfrew--Nipissing--Pembroke,83765,18055,26070,39635,8535,18930,1800,10365,6825,3545,41535,9705,13100,18730,6140,7180,765,4640,2925,1715,42230,8345,12970,20910,2395,11750,1035,5725,3900,1830
35087,Richmond Hill,92225,12815,20455,58960,4580,13665,5670,35035,21480,13560,44055,5765,9200,29090,2865,5690,2535,17995,10410,7585,48170,7050,11255,29870,1710,7975,3140,17040,11065,5980
35088,Carleton,69705,8370,17365,43965,4140,15760,2470,21595,13405,8190,34470,4455,8230,21780,2750,7500,1135,10390,6160,4235,35230,3915,9140,22185,1390,8260,1335,11200,7245,3950
35089,St. Catharines,92820,19240,27880,45700,8260,19685,2835,14925,9155,5770,43790,9130,12740,21915,5445,8235,1190,7045,4315,2725,49035,10100,15145,23785,2810,11450,1640,7885,4840,3040
35090,Toronto--St. Paul's,89625,9240,15700,64690,3535,12325,4515,44320,25735,18590,40495,4365,7220,28905,2135,5005,1650,20115,11295,8820,49130,4875,8475,35780,1395,7325,2855,24205,14435,9770
35091,Sarnia--Lambton,87980,15720,27980,44280,10035,20980,2070,11200,7295,3910,42620,7605,12330,22680,7480,9065,880,5265,3265,2000,45360,8110,15650,21600,2550,11920,1190,5935,4030,1905
35092,Sault Ste. Marie,68900,13995,19470,35435,7040,15895,2080,10415,7175,3240,33100,6665,8785,17650,5070,7010,905,4655,2960,1695,35805,7335,10685,17785,1965,8885,1175,5755,4210,1545
35093,Scarborough--Agincourt,88570,18310,24550,45715,4085,13305,5935,22390,14830,7560,41555,8150,11195,22215,2235,5910,2550,11515,7335,4175,47015,10165,13350,23505,1850,7400,3380,10875,7490,3385
35094,Scarborough Centre,88510,18870,26700,42945,5985,14570,5305,17075,11280,5800,41750,8605,12585,20560,3870,6200,2370,8120,5115,3005,46765,10265,14120,22385,2115,8375,2930,8960,6165,2795
35095,Scarborough--Guildwood,81470,16080,23745,41650,5085,14340,4365,17855,11095,6765,38610,7150,11155,20310,3135,5950,2120,9095,5245,3855,42860,8925,12590,21340,1950,8385,2250,8760,5850,2905
35096,Scarborough North,83525,19005,23560,40960,4135,11905,5380,19545,13675,5870,40110,8540,11060,20505,2665,5300,2405,10135,7020,3120,43410,10465,12500,20445,1470,6600,2970,9410,6655,2750
35097,Scarborough--Rouge Park,84170,13295,23570,47305,5770,16445,5670,19425,12650,6780,40055,6195,11045,22820,3610,7240,2695,9275,5980,3300,44120,7105,12530,24485,2155,9205,2975,10150,6670,3480
35098,Scarborough Southwest,86240,16890,24685,44660,5470,15115,4365,19715,12455,7260,41220,7920,11845,21455,3585,6435,1935,9500,5640,3865,45015,8965,12845,23205,1880,8680,2430,10215,6815,3395
35099,Simcoe--Grey,95210,18595,28880,47735,9685,20900,3045,14110,9240,4865,46740,9705,13625,23410,6925,8730,1340,6415,4185,2230,48475,8895,15255,24320,2760,12165,1705,7690,5050,2640
35100,Simcoe North,90315,19750,26095,44475,10625,20620,2005,11220,7015,4205,43670,10100,11835,21735,7155,8660,930,4995,2950,2045,46645,9655,14255,22740,3475,11960,1080,6225,4070,2160
35101,Spadina--Fort York,75765,6965,11990,56805,2260,10065,3425,41050,26655,14395,37680,3285,6250,28145,1405,4885,1530,20325,13295,7035,38080,3680,5745,28655,860,5180,1890,20725,13365,7365
35102,Stormont--Dundas--South Glengarry,82830,19885,25005,37940,9035,18665,1930,8305,5360,2950,40245,10280,11950,18015,5995,7415,805,3795,2315,1480,42585,9605,13055,19925,3040,11250,1120,4510,3040,1470
35103,Sudbury,76805,16255,18340,42205,7255,19275,1775,13905,8715,5190,36730,7855,8290,20585,4940,8685,680,6280,3825,2455,40075,8405,10050,21620,2320,10585,1090,7620,4890,2730
35104,Thornhill,90525,11385,19155,59985,4085,13700,5990,36210,21315,14895,43265,5430,9055,28780,2390,5550,2745,18100,10225,7865,47260,5960,10100,31205,1700,8150,3245,18110,11085,7025
35105,Thunder Bay--Rainy River,68750,16175,18775,33795,7790,15225,1585,9195,6020,3175,33605,7920,8875,16810,5840,6290,735,3940,2445,1500,35140,8255,9900,16990,1950,8930,855,5255,3575,1685
35106,Thunder Bay--Superior North,68480,15545,16015,36925,7840,15275,1805,12000,7335,4665,33585,7600,7765,18220,5955,6040,825,5400,3025,2375,34895,7945,8250,18705,1890,9235,975,6605,4310,2295
35107,Timmins--James Bay,66035,19635,15555,30850,8130,15350,1145,6220,4295,1935,32905,9750,7160,15995,6170,6755,525,2540,1685,860,33135,9885,8395,14855,1960,8590,620,3680,2610,1075
35108,Toronto Centre,81205,7895,16870,56445,3055,11910,3845,37630,23080,14550,43215,4025,9325,29865,1890,5965,1945,20070,12095,7975,37990,3870,7540,26575,1165,5945,1905,17565,10985,6575
35109,Toronto--Danforth,87020,16390,18170,52465,3910,13390,3860,31300,20160,11145,42200,7845,9315,25030,2595,6220,1710,14515,9430,5085,44820,8540,8855,27435,1320,7170,2155,16785,10730,6060
35110,University--Rosedale,85780,9850,15840,60090,2285,8565,3495,45745,24795,20945,41265,4670,7875,28715,1460,3910,1525,21830,11780,10045,44515,5180,7965,31375,830,4655,1970,23915,13015,10900
35111,Vaughan--Woodbridge,83600,20790,21250,41565,6000,14800,3990,16765,10480,6290,40765,10185,10080,20505,4165,6865,2000,7470,4730,2745,42835,10600,11175,21060,1840,7930,1995,9295,5750,3545
35112,Waterloo,83880,11540,20285,52060,4600,13710,3145,30605,17485,13120,41455,5660,9830,25970,3160,6145,1415,15255,8450,6800,42435,5885,10460,26090,1445,7570,1730,15345,9035,6315
